name,total_reviews,total_citedin,max_citedin,max_citedin_pmid,max_citedin_year,year_start,year_last
Joseph G Altin,2,17,12,16997712,2006,2004,2006
Masayuki Amagai,2,10,8,25813515,2015,2011,2015
Amedeo Amedei,2,20,13,22253528,2012,2012,2013
Veronique Angeli,2,30,28,17394405,2007,2005,2007
Fabienne Anjuere,2,5,4,22882377,2012,2007,2012
R J Arceci,2,25,15,10505036,1999,1999,2006
Kazuhiko Arima,2,6,6,22189594,2011,2011,2012
Anne C Armstrong,2,5,5,11731394,2001,2001,2003
Khusru Asadullah,2,30,29,15649822,2005,2005,2005
Keyoumars Ashkan,2,3,2,25483653,2014,2014,2014
