name,total_reviews,total_citedin
Vassili Soumelis,2,25
Anne I Sperling,2,5
J Sprent,2,17
T E Starzl,2,39
Joan Stein-Streilein,2,21
J L Stephan,2,2
Heribert Stoiber,2,18
Willem Stoorvogel,2,26
Walter J Storkus,2,7
J W Streilein,2,22
Jessica Strid,2,22
Erik S G Stroes,2,12
Marion Subklewe,2,2
Frank Tacke,2,158
Hidehito Takahashi,2,0
Kazuaki Tanabe,2,31
Ryuichi Tanaka,2,9
Christian Taube,2,4
J Taylor-Papadimitriou,2,3
Thomas F Tedder,2,24
Jurjen Tel,2,22
Yen-Tung A Teng,2,36
M B M Teunissen,2,30
J Thivolet,2,3
E Thorsby,2,22
Martin Thurnher,2,2
R E Tigelaar,2,7
John M Timmerman,2,39
Roland Tisch,2,41
B A Tjoa,2,4
G B Toews,2,1
Felix N Toka,2,6
Y Tokura,2,2
Andre-Bernard Tonnel,2,16
Louis Toujas,2,4
Alain Trautmann,2,4
S Tura,2,5
Thomas Tuting,2,3
Rajeev K Tyagi,2,17
Hideki Ueno,2,37
Evelyn Ullrich,2,25
Jukka Vakkila,2,0
I Valyi-Nagy,2,3
Ilse Van Brussel,2,10
Jo Van Damme,2,134
Maries van den Broek,2,11
Sylvia van Drunen Littel-van den Hurk,2,7
C M van Drunen,2,15
Stefaan W Van Gool,2,2
S Vandenabeele,2,10
K Y Vermaelen,2,9
William Vermi,2,2
Marjan A Versnel,2,11
Joanne L Viney,2,22
Marina Viora,2,10
Christophe von Garnier,2,14
Philipp von Landenberg,2,15
S Vuckovic,2,4
Bao-Xi Wang,2,15
Wei Wei,2,5
Drew Weissman,2,78
Thomas Werfel,2,31
Iwona Wertel,2,6
Theresia M Westers,2,2
Christopher J Wheeler,2,3
Monique A M Willart,2,41
S Brian Wilson,2,6
Kamila Wojas,2,0
Kerstin Wolk,2,11
Judith A Woodfolk,2,3
Gregory M Woods,2,4
Tim Worbs,2,54
T-C Wu,2,23
B G Xiao,2,8
Jianping Xie,2,4
Z Xing,2,11
Hongmei Xu,2,9
Yuekang Xu,2,10
Mitsunori Yamakawa,2,19
Hidehiro Yamane,2,97
Sayuri Yamazaki,2,102
Jonathan W Yewdell,2,70
Qing Yi,2,10
Teizo Yoshimura,2,28
Rose Zamoyska,2,9
Kurt S Zanker,2,13
Yifan Zhan,2,26
Wuding Zhou,2,26
Steven F Ziegler,2,131
Rolf M Zinkernagel,2,45
 -,1,0
Bert A 't Hart,1,9
J-P Abastado,1,0
A K Abbas,1,0
Ossama Abbas,1,1
Gerald F Abbott,1,13
Aly Abdel-Mageed,1,1
Khawaja Abdul Mujeeb,1,0
Yasuhiro Abe,1,0
Daniel Abramowicz,1,7
Hans Acha-Orbea,1,5
Abhinav P Acharya,1,6
Oreste Acuto,1,0
Laura Adalid-Peralta,1,3
Jurgen Adamkiewicz,1,8
William C Adams,1,8
Jill Adamski,1,0
Becky Adkins,1,263
J L Aerts,1,2
Amir Afrogheh,1,2
William Agace,1,19
Bharat B Aggarwal,1,80
Patrizia Agostinis,1,92
Alok Agrawal,1,9
Diana Aguilar,1,16
Laura K Aguilar,1,7
Golo Ahlenstiel,1,4
Pedram Ahmadpoor,1,0
Byeong-Cheol Ahn,1,1
Joseph S Ainscough,1,4
L Airas,1,6
Nadia Barbosa Aires,1,3
Sk Md Fazle Akbar,1,1
Hisashi Akiyama,1,6
O Aktas,1,2
Mauro Alaibac,1,1
Rafeul Alam,1,1
Pedro Alarcon,1,0
Cristina Albanesi,1,9
Salvatore Albani,1,1
Carol Albright,1,1
Martha A Alexander-Miller,1,8
Doru T Alexandrescu,1,21
V Alexeev,1,2
H Algul,1,19
Omar A Ali,1,4
Julio Aliberti,1,1
Simone Alidori,1,5
S H Aljabre,1,1
Pedro Aljama,1,3
Robert P Allaker,1,7
G V Alm,1,68
Fahad N Almajhdi,1,3
M M Aloysius,1,0
B Alsbjorn,1,2
Mohammed Alsharifi,1,23
Ralf Altmeyer,1,13
Cristiam M Alvarez,1,0
L A Alves,1,3
Robert J Amato,1,1
Zahra Amirghofran,1,0
Ido Amit,1,5
M Ammar,1,0
Bruna Amorin,1,7
Neil M Ampel,1,12
S Anan,1,0
Niroshana Anandasabapathy,1,1
Claudio Anasetti,1,6
P Andersen,1,0
